Weight,00,03,04,05,06,07,08
1,4.28,4.33,4.44,4.49,4.55,4.60,4.65
2,4.33,4.65,5.34,6.68,7.26,7.79,8.67
3,5.04,5.94,6.99,7.90,8.76,9.30,10.64
4,5.79,6.86,7.93,9.23,10.19,10.88,12.03
5,6.66,8.02,8.98,10.01,10.91,11.87,12.82
6,7.43,8.93,9.54,10.52,11.34,12.24,13.70
7,7.95,9.72,10.07,11.39,12.05,12.66,14.58
8,8.50,9.94,10.82,11.77,12.61,13.50,15.45
9,9.09,10.57,11.49,12.41,13.32,14.24,16.33
10,9.72,11.28,12.26,13.24,14.23,15.20,17.21
11,10.20,11.89,12.97,14.05,15.14,16.21,18.09
12,10.76,12.50,13.64,14.77,15.90,17.02,19.05
13,10.94,12.83,14.08,15.33,16.63,17.82,20.00
14,11.12,13.15,14.52,15.90,17.36,18.61,20.95
15,11.30,13.48,14.97,16.46,18.05,19.43,21.91
16,11.49,13.79,15.41,17.03,18.71,20.21,22.87
17,12.04,14.12,15.86,17.59,19.37,21.01,23.82
18,12.59,14.45,16.30,18.15,20.01,21.83,24.79
19,12.79,14.77,16.74,18.72,20.66,22.62,25.73
20,12.99,15.09,17.19,19.28,21.31,23.41,26.70
21,13.20,15.41,17.63,19.85,22.01,24.24,27.67
22,13.40,15.74,18.07,20.41,22.70,25.05,28.66
23,13.60,16.06,18.52,20.98,23.41,25.88,29.63
24,13.80,16.38,18.96,21.54,24.11,26.69,30.61
25,14.01,16.71,19.41,22.11,24.81,27.51,31.58
26,14.23,17.05,19.87,22.69,25.51,28.33,32.57
27,14.45,17.40,20.34,23.28,26.21,29.15,33.54
28,14.68,17.74,20.79,23.86,26.91,29.97,34.51
29,14.90,18.07,21.26,24.44,27.61,30.79,35.49
30,15.21,18.42,21.72,25.02,28.31,31.60,36.47
31,15.55,18.76,22.18,25.60,29.01,32.43,37.45
32,15.88,19.11,22.64,26.18,29.71,33.24,38.42
33,16.19,19.45,23.11,26.75,30.41,34.07,39.40
34,16.56,19.80,23.57,27.33,31.11,34.88,40.38
35,16.88,20.14,24.03,27.92,31.81,35.71,41.36
36,17.03,20.48,24.49,28.50,32.51,36.52,42.33
37,17.23,20.82,24.96,29.08,33.21,37.33,43.32
38,17.39,21.17,25.42,29.66,33.91,38.16,44.29
39,17.55,21.51,25.88,30.24,34.61,38.97,45.27
40,17.70,21.86,26.34,30.82,35.31,39.80,46.24
41,17.88,22.20,26.81,31.40,36.01,40.61,47.23
42,18.05,22.55,27.27,31.98,36.71,41.43,48.20
43,18.21,22.88,27.73,32.57,37.41,42.25,49.18
44,18.37,23.23,28.19,33.15,38.12,43.07,50.15
45,18.53,23.57,28.66,33.73,38.81,43.89,51.14
46,18.73,23.92,29.12,34.31,39.51,44.71,52.11
47,18.94,24.26,29.57,34.89,40.21,45.52,53.09
48,19.16,24.61,30.04,35.47,40.92,46.35,54.07
49,19.40,24.95,30.51,36.05,41.61,47.16,55.05
50,19.62,25.29,30.96,36.64,42.31,47.99,56.02
51,19.84,25.48,31.22,37.01,42.92,48.80,57.00
52,20.06,25.67,31.48,37.38,43.53,49.63,57.98
53,20.29,25.86,31.74,37.75,44.13,50.44,58.96
54,20.52,26.06,32.00,38.10,44.74,51.26,59.93
55,20.74,26.25,32.26,38.47,45.35,52.08,60.91
56,20.96,26.44,32.51,38.84,45.96,52.90,61.89
57,21.19,26.63,32.78,39.21,46.56,53.72,62.87
58,21.41,26.83,33.03,39.57,47.17,54.54,63.84
59,21.64,27.02,33.28,39.94,47.78,55.36,64.83
60,21.86,27.21,33.55,40.31,48.39,56.18,65.80
61,22.09,27.40,33.80,40.68,48.99,56.99,66.78
62,22.31,27.59,34.07,41.04,49.61,57.82,67.75
63,22.54,27.78,34.32,41.41,50.21,58.63,68.74
64,22.76,27.97,34.59,41.78,50.82,59.46,69.71
65,22.99,28.16,34.84,42.15,51.42,60.27,70.69
66,23.21,28.35,35.09,42.52,52.04,61.09,71.66
67,23.43,28.54,35.36,42.88,52.64,61.91,72.64
68,23.66,28.74,35.61,43.25,53.25,62.72,73.62
69,23.88,28.93,35.87,43.62,53.85,63.55,74.59
70,24.11,29.12,36.13,43.99,54.47,64.36,75.58
BN,12.99,15.09,17.19,19.28,21.31,23.41,26.70
OS,68.68,77.23,78.94,81.30,102.88,111.43,119.98
