Weight,00,03,04,05
1,3.85,4.82,5.76,6.69
2,3.85,4.82,5.76,6.69
3,4.15,5.64,6.94,7.70
4,4.45,6.34,7.82,8.52
5,4.73,6.99,8.42,9.25
6,5.00,7.51,9.07,9.93
7,5.27,8.09,9.73,10.63
8,5.53,8.67,10.36,11.30
9,5.79,9.22,10.98,11.89
10,6.05,9.80,11.58,12.51
11,6.31,10.35,11.95,12.94
12,6.58,10.85,12.18,13.22
13,6.84,11.31,12.45,13.53
14,7.10,11.67,12.68,13.74
15,7.35,12.04,12.91,13.97
16,7.60,12.45,13.30,14.42
17,7.86,12.65,13.54,14.61
18,8.10,12.88,13.76,14.85
19,8.34,13.13,13.99,15.08
20,8.57,13.33,14.13,15.22
21,8.81,13.72,14.53,15.63
22,9.05,13.97,14.80,15.86
23,9.30,14.27,15.06,16.11
24,9.54,14.51,15.32,16.32
25,9.79,14.70,15.51,16.49
26,10.03,14.98,15.83,16.70
27,10.27,15.29,16.11,16.95
28,10.51,15.52,16.33,17.15
29,10.75,15.74,16.56,17.40
30,10.97,16.01,16.81,17.66
31,11.20,16.46,17.31,18.20
32,11.43,16.72,17.58,18.44
33,11.66,16.96,17.81,18.71
34,11.89,17.19,18.12,19.04
35,12.13,17.37,18.33,19.23
BN,8.57,13.33,14.13,15.22
