Weight,00,03,04,05
1,6.21,7.18,8.12,9.05
2,6.21,7.18,8.12,9.05
3,6.51,8.00,9.30,10.06
4,6.81,8.70,10.18,10.88
5,7.09,9.35,10.78,11.61
6,7.36,9.87,11.43,12.29
7,7.63,10.45,12.09,12.99
8,7.89,11.03,12.72,13.66
9,8.15,11.58,13.34,14.25
10,8.41,12.16,13.94,14.87
11,8.67,12.71,14.31,15.30
12,8.94,13.21,14.54,15.58
13,9.20,13.67,14.81,15.89
14,9.46,14.03,15.04,16.10
15,9.71,14.40,15.27,16.33
16,9.96,14.81,15.66,16.78
17,10.22,15.01,15.90,16.97
18,10.46,15.24,16.12,17.21
19,10.70,15.49,16.35,17.44
20,10.93,15.69,16.49,17.58
21,11.17,16.08,16.89,17.99
22,11.41,16.33,17.16,18.22
23,11.66,16.63,17.42,18.47
24,11.90,16.87,17.68,18.68
25,12.15,17.06,17.87,18.85
26,12.39,17.34,18.19,19.06
27,12.63,17.65,18.47,19.31
28,12.87,17.88,18.69,19.51
29,13.11,18.10,18.92,19.76
30,13.33,18.37,19.17,20.02
31,13.56,18.82,19.67,20.56
32,13.79,19.08,19.94,20.80
33,14.02,19.32,20.17,21.07
34,14.25,19.55,20.48,21.40
35,14.49,19.73,20.69,21.59
36,14.72,19.96,20.98,21.89
37,14.95,20.20,21.27,22.19
38,15.18,20.44,21.54,22.50
39,15.41,20.69,21.82,22.78
40,15.64,20.89,22.11,23.08
41,15.87,21.19,22.31,23.35
42,16.10,21.36,22.49,23.58
43,16.33,21.57,22.66,23.86
44,16.55,21.85,22.90,24.18
45,16.77,22.05,23.29,24.43
46,16.99,22.53,23.72,25.11
47,17.21,22.74,23.89,25.75
48,17.43,23.02,24.11,26.46
49,17.64,23.30,24.34,27.17
50,17.85,23.43,24.43,27.76
51,18.06,23.66,24.67,28.51
52,18.27,23.99,24.88,29.31
53,18.50,24.21,25.06,30.10
54,18.74,24.42,25.28,30.91
55,18.99,24.63,25.51,31.35
56,19.24,24.83,25.74,31.62
57,19.49,24.97,25.90,31.98
58,19.75,25.25,26.14,32.35
59,20.00,25.43,26.36,32.66
60,20.25,25.57,26.52,32.98
61,20.50,25.74,26.67,33.20
62,20.74,25.96,26.97,33.55
63,20.98,26.13,27.23,33.84
64,21.22,26.34,27.53,34.22
65,21.46,26.53,27.79,34.49
66,21.70,26.75,28.10,34.88
67,21.94,26.89,28.37,35.14
68,22.18,27.11,28.62,35.51
69,22.41,27.27,28.89,35.78
70,22.65,27.50,29.21,36.13
BN,10.93,15.69,16.49,17.58
OS,28.31,39.96,54.13,56.26
