Mailing Date,Trans Date,File Number,Sub File Number,PIC,Dest ZIP,Entry Facility ZIP,Mail Class,Dest Rate,Rate,eVS Zone,Mailer Zone,Weight,Man Postg ($),Man Surch ($),eVS Postage + Surch ($),Extra Serv code 1,Extra Serv code 2,Man Extra Serv fee 1($),Man Extra Serv fee 2($),eVS Extra Serv fee 1($),eVS Extra Serv fee 2($),Man Addl Sp Fee ($),eVS Addl Sp Fee ($),Total Variance ($)
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133701052670','20260','20260',PM,N,CP,'01','01',14.4947,1.990,0.000,4.580,,,0.000,0.000,0.000,0.000,0.000,0.000,2.590
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133703338043','20260','20260',PM,N,P9,'01','01',2.7403,1.990,0.000,4.580,,,0.000,0.000,0.000,0.000,0.000,0.000,2.590
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133704542728','61001','20260',PM,N,P6,'05','05',19.3060,1.990,0.000,4.990,,,0.000,0.000,0.000,0.000,0.000,0.000,3.000
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133705819689','20260','20260',PM,N,FA,'00','00',56.9906,1.990,0.000,4.990,,,0.000,0.000,0.000,0.000,0.000,0.000,3.000
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133706277719','20260','20260',PM,N,FP,'00','00',37.2794,1.990,0.000,5.350,,,0.000,0.000,0.000,0.000,0.000,0.000,3.360
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133708241179','25505','20260',PM,N,BN,'03','03',14.9158,1.990,0.000,16.680,,,0.000,0.000,0.000,0.000,0.000,0.000,14.690
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133708463418','20260','20260',PM,N,P8,'01','01',6.3177,1.990,0.000,4.580,,,0.000,0.000,0.000,0.000,0.000,0.000,2.590
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133711530867','90210','20260',PM,N,CP,'08','08',19.4562,1.990,0.000,5.820,,,0.000,0.000,0.000,0.000,0.000,0.000,3.830
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133712647768','25505','20260',PM,N,SP,'03','03',25.5562,1.990,0.000,18.120,,,0.000,0.000,0.000,0.000,0.000,0.000,16.130
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133712943718','90210','20260',PM,N,SP,'08','08',41.3032,1.990,0.000,77.630,,,0.000,0.000,0.000,0.000,0.000,0.000,75.640
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133713317027','96303','20260',PM,N,PM,00*,'08',2.3099,1.990,0.000,12.800,,,0.000,0.000,0.000,0.000,0.000,0.000,10.810
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133713823025','20260','20260',PM,N,FE,'00','00',19.6123,1.990,0.000,4.950,,,0.000,0.000,0.000,0.000,0.000,0.000,2.960
